,ShiftID,Assigned,ObjectTimeStart,ObjectTimeEnd,StartShift,EndShift,ShiftLength
54,829DD9D4-C506-437E-9DE5-6E90D2053632_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 05:00:00,2022-01-08 16:00:00,630.0
55,829DD9D4-C506-437E-9DE5-6E90D2053632_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 16:00:00,330.0
56,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 14:00:00,2022-01-03 22:00:00,450.0
57,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 05:00:00,2022-01-04 13:00:00,450.0
58,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 05:00:00,2022-01-05 16:00:00,600.0
59,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
60,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 11:00:00,330.0
61,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 10:00:00,2022-01-08 21:00:00,630.0
62,26BF86A5-E6F4-47DD-99B7-77101F1CFA5A_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 21:00:00,630.0
63,D9826D86-A95E-4388-BE46-90051399B297_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 16:00:00,330.0
64,72700B73-0CEF-4240-873B-02ED64394BFC_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 10:00:00,2022-01-08 14:00:00,240.0
65,CD34EC19-BCAB-4959-88F0-2088ED201FA8_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 16:00:00,2022-01-08 20:00:00,240.0
66,713B24EE-7B31-4267-B30F-5B6A80114E9A_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 10:00:00,2022-01-08 14:00:00,240.0
67,713B24EE-7B31-4267-B30F-5B6A80114E9A_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 14:00:00,240.0
68,6B0A4CE9-3229-432D-989A-25E5F8E7743D_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 20:00:00,330.0
69,6B0A4CE9-3229-432D-989A-25E5F8E7743D_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 14:00:00,240.0
70,4AC8EE58-5096-4EC5-B439-BA500B3A4156_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 13:00:00,2022-01-09 19:00:00,330.0
71,43C5B72F-C1D4-4F04-BD7E-158890106768_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 14:00:00,240.00000000000364
72,6CB927A1-3A91-4074-95DF-3E03DB507301_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 13:00:00,2022-01-08 19:00:00,330.0
73,6CB927A1-3A91-4074-95DF-3E03DB507301_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 10:00:00,2022-01-09 14:00:00,240.00000000000364
74,DFD38BDE-9BFB-4265-96E7-2AA13095A616_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
75,DFD38BDE-9BFB-4265-96E7-2AA13095A616_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
